SMILES,Catalog ID,PlateID,Well,MW (desalted),CLogP,HBD,TPSA,RotBonds,Standard Shift KF (ppm),Shift 1 (ppm),Shift 2 (ppm),Label,Atom Index,Shielding
N#Cc1c(F)cccc1-n1ccnc1,Z1002186008,1043600-R-01,D05,187.173,1.701,0,41.61,1,-119.4,-104.54,,CF,4,268.961803379306
N#Cc1ccc(N2CCCOCC2)c(F)c1,Z1002244320,1043600-R-09,B02,220.243,1.681,0,36.26,1,-119.34,-123.06,,CF,14,293.29937088827126
N#Cc1ccc(N2CCN(C(=O)NC3CC3)CC2)c(F)c1,Z1004152028,1043600-R-06,G02,288.32,2.355,1,59.37,2,-119.39,-120.35,,CF,19,296.1283726632325
Cn1cc(CNc2ccc(F)cc2)nn1,Z1013717992,1043600-R-06,E05,206.22,0.862,1,42.74,3,-119.38,-126.48,,CF,10,304.9010949236835
Cc1cc(NCc2nccn2C)ccc1F,Z1021295896,1043600-R-01,F04,219.258,1.878,1,29.85,3,-119.43,-131.32,,CF,15,308.31864300628644
Cc1nc(C(F)(F)F)ccc1N,Z1021421710,1043600-R-13,D04,176.139,1.866,1,38.91,1,-119.48,-65.72,,CF3,5,241.5176263333333
Nc1ncncc1-c1ccc(F)cc1,Z1037348834,1043600-R-12,B10,189.189,1.716,1,51.8,1,-119.42,-113.41,,CF,11,283.9621019434716
N#CC1(C(=O)NCc2ccccc2F)CCCC1,Z104387058,1043600-R-03,B08,246.28,1.974,1,52.89,3,-119.38,-119.29,,CF,13,287.8790795254028
O=c1[nH]c(=O)n(C2CCCO2)cc1F,Z104508106,1043600-R-13,B04,200.167,-0.065,1,58.64,1,-119.48,-166.78,,CF,13,342.695936281109
Cn1ccc(NC(=O)c2ccccc2C(F)(F)F)n1,Z108544484,1043600-R-04,C06,269.223,0.888,1,46.92,3,-119.37,-59.08,,CF3,15,233.95649886052783
O=C1NC(=O)N(CC(F)(F)F)C1=O,Z108576926,1043600-R-13,E02,196.084,-0.281,1,66.48,2,-120.16,-72.78,,CF3,8,248.31242889419445
O=C(NC1CC1)c1cc(Cl)ccc1F,Z108823916,1043600-R-03,A08,213.636,2.163,1,29.1,2,-119.95,-117.65,,CF,13,287.85528018435207
